item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Diretrizes Gerais da Ação Evangelizadora da Igreja no Brasil 2015 - 2019",CNBB,CNBB,CNBB,9788579724091,8579724090,"Documentos da CNBB #102",Paulinas,2000-01-01,"Documentos da CNBB",,,,,,,,,,,,,,,,,2018-07-20,1
book,"Cristãos Leigos e Leigas na Igreja e na Sociedade",CNBB,CNBB,CNBB,9788579724978,857972497X,"Documentos da CNBB #105",CNBB,2016-01-01,"Documentos da CNBB",,,,,,,,,,,,,,,,,2018-07-20,1
book,"Povo Judeu e as suas Sagradas Escrituras na Bíblia Cristã, O","Pontifícia Comissão Bíblica",Pontifícia,Bíblica,9788535631166,853563116X,"Documentos da Igreja #8",,,,"documentos da igreja",,,,,,,,,,,,,,,,2018-07-20,1
book,"Sacrosanctum Concilium","Paulo VI",Paulo,VI,9788535610499,8535610499,"A Voz do Papa #26",,,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Lumen Gentium","Paulo VI",Paulo,VI,9788535611342,8535611347,"A Voz do Papa #31",Paulinas,2007-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Dei Verbum","Paulo VI",Paulo,VI,9788535610703,8535610707,"A Voz do Papa #37",Paulinas,2011-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Evangelii Nuntiandi","Paulo VI",Paulo,VI,9788535612301,8535612300,"A Voz do Papa #85",Paulinas,2000-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Deus Caritas Est","Bento XVI",Bento,XVI,9788535619850,8535619852,"A Voz do Papa #189",Paulinas,2011-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Lumen Fidei",Francisco,Francisco,Francisco,9788535636123,8535636129,"A Voz do Papa #197",Paulinas,2013-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Evangelii Gaudium",Francisco,Francisco,Francisco,9788535636840,8535636846,"A Voz do Papa #198",Paulinas,2013-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Misericordiae Vultus",Francisco,Francisco,Francisco,9788535639278,8535639276,"A Voz do Papa #200",Paulinas,2000-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Laudato Si",Francisco,Francisco,Francisco,9788535639506,8535639500,"A Voz do Papa #201",Paulinas,2015-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Amoris Laetitia",Francisco,Francisco,Francisco,9788535641493,8535641491,"A Voz do Papa #202",Calouste,2016-01-01,,"a voz do papa",,,,,,,,,,,,,,,,2018-07-20,1
book,"Teologia e Ensino",CNBB,CNBB,CNBB,9788579720857,,"Subsídios Doutrinais #6",CNBB,2011-01-01,,"subsídios doutrinais",,,53,,,,,,,,,,,,,2018-07-20,1
